id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev,property_type,room_type,host_response_rate,number_of_reviews
636256,6.54,Centrum-West,2,121,100,726,Apartment,Entire home/apt,1,1
1461839,6.54,Centrum-West,1,150,100,3600,Apartment,Entire home/apt,0.5,3
3291995,6.54,De Pijp - Rivierenbuurt,1,55,90,6050,Apartment,Private room,0.7,55
681455,6.53,Centrum-Oost,2,95,91,23180,Apartment,Entire home/apt,1,61
809026,6.52,Centrum-West,4,249,94,32868,Apartment,Entire home/apt,1,22
68873,6.52,Centrum-West,2,89,95,39694,Apartment,Private room,1,223
68290,6.52,Centrum-West,2,89,93,40762,Apartment,Private room,1,229
69042,6.5,Centrum-West,3,129,94,23220,Apartment,Entire home/apt,1,30
69040,6.5,Centrum-West,3,129,95,47730,Apartment,Entire home/apt,1,37
538723,6.48,Watergraafsmeer,3,125,96,8500,Apartment,Entire home/apt,0.9,17
3205268,6.47,Centrum-Oost,2,149,100,5960,Apartment,Entire home/apt,1,5
1340216,6.45,Oud-Oost,2,95,100,7980,Apartment,Entire home/apt,1,14
4268308,6.45,Centrum-Oost,1,145,97,6090,Apartment,Entire home/apt,1,7
81982,6.44,De Pijp - Rivierenbuurt,1,93,95,28272,Apartment,Private room,1,76
73208,6.43,Zuid,3,150,98,29700,Apartment,Entire home/apt,0.89,33
827259,6.43,De Pijp - Rivierenbuurt,1,70,92,33040,Apartment,Private room,0.77,118
73917,6.42,Centrum-West,2,175,98,7700,Boat,Entire home/apt,0.93,11
73924,6.42,Centrum-West,2,150,98,3300,Apartment,Entire home/apt,0.93,11
782214,6.42,De Baarsjes - Oud-West,1,105,98,3360,Apartment,Entire home/apt,1,8
1799936,6.42,De Baarsjes - Oud-West,4,299,100,5980,Apartment,Entire home/apt,0.98,2
1460117,6.42,De Baarsjes - Oud-West,2,125,96,45000,Apartment,Entire home/apt,0.98,90
776730,6.41,Oostelijk Havengebied - Indische Buurt,5,180,99,7560,Boat,Entire home/apt,1,3
74385,6.41,Oud-Oost,2,100,89,21600,Apartment,Entire home/apt,1,36
1942670,6.4,Centrum-Oost,1,135,100,1080,Apartment,Entire home/apt,0.25,2
75382,6.4,Oud-Oost,1,100,87,1800,House,Entire home/apt,1,3
75444,6.4,Centrum-Oost,1,70,91,6300,Bed & Breakfast,Private room,1,15
75499,6.4,De Baarsjes - Oud-West,2,105,100,3150,Apartment,Private room,1,5
76459,6.4,De Baarsjes - Oud-West,2,105,100,1890,Apartment,Private room,1,3
75941,6.39,Centrum-West,1,119,94,49980,Apartment,Entire home/apt,1,70
153562,6.39,De Pijp - Rivierenbuurt,1,90,100,2700,Apartment,Entire home/apt,0.85,5
582030,6.39,Bos en Lommer,1,116,98,5104,Apartment,Entire home/apt,1,11
76631,6.38,Centrum-West,1,110,96,54780,Apartment,Entire home/apt,0.9,83
3698780,6.38,De Pijp - Rivierenbuurt,4,100,100,400,Apartment,Entire home/apt,1,1
77345,6.38,Zuid,2,68,96,32232,Apartment,Private room,1,79
4004198,6.37,Centrum-West,4,325,100,1300,Apartment,Entire home/apt,0.8,1
78188,6.37,Buitenveldert - Zuidas,1,70,96,12320,Apartment,Entire home/apt,1,44
3584759,6.36,De Pijp - Rivierenbuurt,1,125,100,1000,Apartment,Entire home/apt,0.76,2
105074,6.36,De Baarsjes - Oud-West,5,90,90,59940,Apartment,Entire home/apt,1,111
875333,6.36,De Baarsjes - Oud-West,1,89,93,15308,Apartment,Entire home/apt,0.7,43
1911803,6.36,Centrum-Oost,1,115,98,9660,Apartment,Entire home/apt,1,14
80634,6.34,Centrum-West,4,140,92,16240,Bed & Breakfast,Private room,1,29
170830,6.34,Centrum-West,2,125,92,38250,Bed & Breakfast,Private room,1,51
2739228,6.34,Centrum-West,1,110,86,4400,Bed & Breakfast,Private room,1,10
80635,6.34,Centrum-West,1,120,95,70560,Bed & Breakfast,Private room,1,98
168769,6.34,Centrum-West,1,115,91,76590,Bed & Breakfast,Private room,1,111
4043288,6.34,Centrum-West,1,115,90,1150,Bed & Breakfast,Private room,1,5
418697,6.34,Centrum-Oost,1,120,100,1440,Apartment,Entire home/apt,0.87,3
631264,6.34,Centrum-Oost,1,200,100,1200,House,Entire home/apt,0.87,1
82303,6.33,Centrum-Oost,2,89,97,52866,House,Entire home/apt,1,99
124936,6.33,Centrum-Oost,1,120,96,90240,Apartment,Entire home/apt,1,94
82748,6.32,Centrum-Oost,2,139,97,65052,Apartment,Entire home/apt,1,78
892937,6.32,Centrum-Oost,1,119,94,18564,Apartment,Entire home/apt,1,26
2866682,6.32,De Baarsjes - Oud-West,2,259,90,6216,House,Entire home/apt,1,4
2344785,6.32,De Baarsjes - Oud-West,2,99,99,9504,House,Private room,1,24
3914428,6.31,Centrum-West,1,175,100,700,Boat,Entire home/apt,1,2
3649042,6.31,Centrum-Oost,4,120,88,3840,Bed & Breakfast,Private room,1,8
84057,6.31,De Baarsjes - Oud-West,1,100,93,2400,Bed & Breakfast,Private room,1,4
3545277,6.31,Centrum-Oost,1,140,75,2240,Bed & Breakfast,Private room,1,4
3290611,6.31,De Pijp - Rivierenbuurt,1,125,100,4500,Apartment,Entire home/apt,0.8,6
85401,6.3,De Pijp - Rivierenbuurt,5,110,81,73920,Apartment,Entire home/apt,0.95,168
224513,6.3,De Pijp - Rivierenbuurt,3,69,86,32844,Apartment,Entire home/apt,0.95,119
2609645,6.3,De Baarsjes - Oud-West,1,104,94,10400,Apartment,Private room,1,25
115795,6.3,De Pijp - Rivierenbuurt,4,165,86,26400,Apartment,Entire home/apt,1,40
86675,6.29,Oud-Oost,2,210,98,15120,Boat,Entire home/apt,1,9
2470214,6.28,Westerpark,1,100,100,3600,Apartment,Entire home/apt,1,6
87519,6.28,Centrum-West,1,175,98,4200,House,Private room,0.81,12
2870512,6.28,Oostelijk Havengebied - Indische Buurt,2,98,90,2744,Apartment,Entire home/apt,0.7,7
97476,6.28,Zuid,1,115,93,8280,Apartment,Entire home/apt,0.83,12
906446,6.27,Buitenveldert - Zuidas,1,79,87,20856,Apartment,Private room,1,66
90171,6.27,De Baarsjes - Oud-West,3,69,90,3312,Apartment,Entire home/apt,1,24
3955550,6.27,De Baarsjes - Oud-West,2,105,97,2940,Apartment,Entire home/apt,0.8,7
727801,6.27,Oud-Oost,1,120,93,26880,Apartment,Entire home/apt,0.74,28
2929210,6.27,Zuid,1,168,100,2016,Apartment,Entire home/apt,0.88,3
1159534,6.25,Centrum-Oost,5,295,97,35400,House,Entire home/apt,1,12
95540,6.25,De Baarsjes - Oud-West,1,85,97,28900,Apartment,Entire home/apt,1,85
1270575,6.25,De Baarsjes - Oud-West,1,80,94,26880,Apartment,Entire home/apt,1,24
96048,6.25,Centrum-Oost,2,75,100,150,Bed & Breakfast,Private room,1,1
5211163,6.24,Centrum-West,3,135,90,2430,Apartment,Entire home/apt,1,3
4713353,6.24,Centrum-Oost,1,129,98,4644,Apartment,Entire home/apt,1,9
1886198,6.24,Centrum-Oost,1,125,94,3500,Apartment,Entire home/apt,0.9,7
97939,6.24,De Baarsjes - Oud-West,1,89,94,44856,Apartment,Entire home/apt,1,63
3383617,6.24,Centrum-Oost,1,120,93,1440,Apartment,Entire home/apt,1,3
505863,6.23,Westerpark,2,100,85,4200,Apartment,Entire home/apt,0.89,7
102107,6.22,Zuid,3,225,99,20700,Apartment,Entire home/apt,1,23
543262,6.22,Zuid,3,185,96,11100,Apartment,Entire home/apt,1,15
4314014,6.22,De Pijp - Rivierenbuurt,2,290,97,10440,Apartment,Entire home/apt,0.76,6
866361,6.22,Centrum-West,1,110,80,2640,Apartment,Entire home/apt,1,6
4063858,6.22,Centrum-West,1,90,92,14580,Apartment,Private room,1,27
118097,6.22,Centrum-West,1,79,95,85952,Bed & Breakfast,Private room,1,136
963328,6.22,Centrum-West,1,79,95,58776,Bed & Breakfast,Private room,1,93
5237476,6.22,Centrum-West,1,125,80,2500,Apartment,Entire home/apt,1,2
105546,6.22,Geuzenveld - Slotermeer,1,70,91,13720,Apartment,Private room,0.97,49
200461,6.22,De Baarsjes - Oud-West,2,90,85,10260,Apartment,Entire home/apt,1,19
201322,6.21,Centrum-West,1,80,88,4320,Apartment,Entire home/apt,1,27
2076538,6.21,De Baarsjes - Oud-West,1,108,91,3024,Apartment,Entire home/apt,0.92,7
106477,6.2,Centrum-West,1,195,98,34320,Apartment,Entire home/apt,1,44
107326,6.2,De Aker - Nieuw Sloten,4,140,88,28560,Bed & Breakfast,Entire home/apt,0.87,34
629384,6.2,Buitenveldert - Zuidas,1,152,90,1824,Bed & Breakfast,Private room,0.75,2
107972,6.19,De Baarsjes - Oud-West,2,100,99,23400,Apartment,Entire home/apt,1,39
1186529,6.19,De Pijp - Rivierenbuurt,1,90,87,1080,Bed & Breakfast,Private room,1,3
1618351,6.19,De Pijp - Rivierenbuurt,1,80,95,1600,Bed & Breakfast,Private room,1,5
1618602,6.19,De Pijp - Rivierenbuurt,1,85,100,680,Bed & Breakfast,Private room,1,2
4756239,6.19,De Pijp - Rivierenbuurt,3,180,100,1080,Apartment,Entire home/apt,0.3,1
4044970,6.18,Oud-Noord,1,85,95,2720,House,Entire home/apt,0.7,4
112831,6.18,Westerpark,2,95,95,20900,Apartment,Entire home/apt,1,55
670575,6.17,Bos en Lommer,1,119,97,1666,Apartment,Entire home/apt,0.64,7
137282,6.17,IJburg - Zeeburgereiland,3,140,89,17640,Apartment,Entire home/apt,0.93,21
118117,6.16,De Baarsjes - Oud-West,1,59,93,48616,Apartment,Entire home/apt,0.86,206
118962,6.16,Zuid,2,85,99,62220,Apartment,Entire home/apt,1,122
119023,6.16,Westerpark,2,200,100,7200,Bed & Breakfast,Entire home/apt,0.83,6
120872,6.15,Bos en Lommer,2,89,90,13172,Apartment,Entire home/apt,1,37
1738791,6.15,Centrum-Oost,1,79,92,8058,Apartment,Entire home/apt,0.9,17
3419861,6.15,De Pijp - Rivierenbuurt,1,150,95,3600,Apartment,Entire home/apt,1,4
1858624,6.14,Westerpark,1,58,95,14964,Apartment,Private room,1,43
553514,6.14,Westerpark,2,100,87,14600,Bed & Breakfast,Entire home/apt,1,73
1996547,6.14,De Pijp - Rivierenbuurt,1,70,100,280,Apartment,Private room,1,2
124831,6.14,Oud-Oost,2,90,91,12240,Apartment,Entire home/apt,0.4,17
125425,6.14,Oud-Oost,1,79,95,23384,Apartment,Entire home/apt,1,37
3457288,6.14,Watergraafsmeer,4,168,80,1008,Apartment,Entire home/apt,0.8,1
2782802,6.13,Oud-Oost,4,175,91,7700,Apartment,Entire home/apt,1,11
128890,6.13,Oud-Oost,4,180,87,4320,Apartment,Entire home/apt,0.75,3
130114,6.13,De Baarsjes - Oud-West,1,110,96,6160,Apartment,Entire home/apt,0.9,14
131250,6.12,De Pijp - Rivierenbuurt,1,94,93,2632,Apartment,Entire home/apt,0.92,7
188483,6.12,De Baarsjes - Oud-West,2,120,95,2160,Apartment,Entire home/apt,0.84,9
1002180,6.12,Oud-Oost,1,119,92,2142,Apartment,Entire home/apt,1,9
132950,6.12,De Baarsjes - Oud-West,1,100,93,11200,Apartment,Entire home/apt,0.85,56
134400,6.11,Centrum-West,2,196,93,43904,House,Entire home/apt,1,56
4763288,6.11,Watergraafsmeer,2,250,100,500,Apartment,Entire home/apt,0.2,1
136029,6.11,De Baarsjes - Oud-West,1,95,97,9880,Apartment,Entire home/apt,1,26
